	Symbol	Company	Sector
12	A	Agilent Technologies Inc	Health Care
29	AAL	American Airlines Group	Industrials
8	AAP	Advance Auto Parts	Consumer Discretionary
46	AAPL	Apple Inc.	Information Technology
3	ABBV	AbbVie Inc.	Health Care
36	ABC	AmerisourceBergen Corp	Health Care
4	ABMD	ABIOMED Inc	Health Care
2	ABT	Abbott Laboratories	Health Care
5	ACN	Accenture plc	Information Technology
7	ADBE	Adobe Inc.	Information Technology
40	ADI	Analog Devices Inc.	Information Technology
49	ADM	Archer-Daniels-Midland Co	Consumer Staples
56	ADP	Automatic Data Processing	Information Technology
55	ADSK	Autodesk Inc.	Information Technology
28	AEE	Ameren Corp	Utilities
30	AEP	American Electric Power	Utilities
10	AES	AES Corp	Utilities
11	AFL	AFLAC Inc	Financials
32	AIG	American International Group	Financials
45	AIV	Apartment Investment & Management	Real Estate
52	AIZ	Assurant	Financials
51	AJG	Arthur J. Gallagher & Co.	Financials
14	AKAM	Akamai Technologies Inc	Information Technology
17	ALB	Albemarle Corp	Materials
19	ALGN	Align Technology	Health Care
15	ALK	Alaska Air Group Inc	Industrials
22	ALL	Allstate Corp	Financials
20	ALLE	Allegion	Industrials
18	ALXN	Alexion Pharmaceuticals	Health Care
47	AMAT	Applied Materials Inc.	Information Technology
27	AMCR	Amcor plc	Materials
9	AMD	Advanced Micro Devices Inc	Information Technology
37	AME	AMETEK Inc.	Industrials
38	AMGN	Amgen Inc.	Health Care
35	AMP	Ameriprise Financial	Financials
33	AMT	American Tower Corp.	Real Estate
26	AMZN	Amazon.com Inc.	Consumer Discretionary
50	ANET	Arista Networks	Information Technology
41	ANSS	ANSYS	Information Technology
42	ANTM	Anthem	Health Care
43	AON	Aon plc	Financials
1	AOS	A.O. Smith Corp	Industrials
44	APA	Apache Corporation	Energy
13	APD	Air Products & Chemicals Inc	Materials
39	APH	Amphenol Corp	Information Technology
48	APTV	Aptiv PLC	Consumer Discretionary
16	ARE	Alexandria Real Estate Equities	Real Estate
54	ATO	Atmos Energy	Utilities
6	ATVI	Activision Blizzard	Communication Services
58	AVB	AvalonBay Communities	Real Estate
76	AVGO	Broadcom Inc.	Information Technology
59	AVY	Avery Dennison Corp	Materials
34	AWK	American Water Works Company Inc	Utilities
31	AXP	American Express Co	Financials
57	AZO	AutoZone Inc	Consumer Discretionary
70	BA	Boeing Company	Industrials
62	BAC	Bank of America Corp	Financials
63	BAX	Baxter International Inc.	Health Care
66	BBY	Best Buy Co. Inc.	Consumer Discretionary
64	BDX	Becton Dickinson	Health Care
202	BEN	Franklin Resources	Financials
78	BF.B	Brown-Forman Corp.	Consumer Staples
68	BIIB	Biogen Inc.	Health Care
67	BIO	Bio-Rad Laboratories	Health Care
437	BK	The Bank of New York Mellon	Financials
71	BKNG	Booking Holdings Inc	Consumer Discretionary
60	BKR	Baker Hughes Co	Energy
69	BLK	BlackRock	Financials
61	BLL	Ball Corp	Materials
75	BMY	Bristol-Myers Squibb	Health Care
77	BR	Broadridge Financial Solutions	Information Technology
65	BRK.B	Berkshire Hathaway	Financials
74	BSX	Boston Scientific	Health Care
72	BWA	BorgWarner	Consumer Discretionary
73	BXP	Boston Properties	Real Estate
108	C	Citigroup Inc.	Financials
118	CAG	Conagra Brands	Consumer Staples
84	CAH	Cardinal Health Inc.	Health Care
87	CARR	Carrier Global	Industrials
88	CAT	Caterpillar Inc.	Industrials
102	CB	Chubb Limited	Financials
89	CBOE	Cboe Global Markets	Financials
90	CBRE	CBRE Group	Real Estate
128	CCI	Crown Castle International Corp.	Real Estate
86	CCL	Carnival Corp.	Consumer Discretionary
81	CDNS	Cadence Design Systems	Information Technology
91	CDW	CDW	Information Technology
92	CE	Celanese	Materials
96	CERN	Cerner	Health Care
97	CF	CF Industries Holdings Inc	Materials
109	CFG	Citizens Financial Group	Financials
103	CHD	Church & Dwight	Consumer Staples
79	CHRW	C. H. Robinson Worldwide	Industrials
99	CHTR	Charter Communications	Communication Services
104	CI	CIGNA Corp.	Health Care
105	CINF	Cincinnati Financial	Financials
115	CL	Colgate-Palmolive	Consumer Staples
438	CLX	The Clorox Company	Consumer Staples
117	CMA	Comerica Inc.	Financials
116	CMCSA	Comcast Corp.	Communication Services
111	CME	CME Group Inc.	Financials
101	CMG	Chipotle Mexican Grill	Consumer Discretionary
130	CMI	Cummins Inc.	Industrials
112	CMS	CMS Energy	Utilities
93	CNC	Centene Corporation	Health Care
94	CNP	CenterPoint Energy	Utilities
83	COF	Capital One Financial	Financials
80	COG	Cabot Oil & Gas	Energy
439	COO	The Cooper Companies	Health Care
120	COP	ConocoPhillips	Energy
126	COST	Costco Wholesale Corp.	Consumer Staples
127	COTY	Coty Inc	Consumer Staples
82	CPB	Campbell Soup	Consumer Staples
123	CPRT	Copart Inc	Industrials
403	CRM	Salesforce.com	Information Technology
107	CSCO	Cisco Systems	Information Technology
129	CSX	CSX Corp.	Industrials
106	CTAS	Cintas Corporation	Industrials
95	CTL	CenturyLink Inc	Communication Services
114	CTSH	Cognizant Technology Solutions	Information Technology
125	CTVA	Corteva	Materials
110	CTXS	Citrix Systems	Information Technology
131	CVS	CVS Health	Health Care
100	CVX	Chevron Corp.	Energy
119	CXO	Concho Resources	Energy
149	D	Dominion Energy	Utilities
137	DAL	Delta Air Lines Inc.	Industrials
156	DD	DuPont de Nemours Inc	Materials
136	DE	Deere & Co.	Industrials
143	DFS	Discover Financial Services	Financials
147	DG	Dollar General	Consumer Discretionary
386	DGX	Quest Diagnostics	Health Care
132	DHI	D. R. Horton	Consumer Discretionary
133	DHR	Danaher Corp.	Health Care
443	DIS	The Walt Disney Company	Communication Services
144	DISCA	Discovery Inc. (Class A)	Communication Services
145	DISCK	Discovery Inc. (Class C)	Communication Services
146	DISH	Dish Network	Communication Services
142	DLR	Digital Realty Trust Inc	Real Estate
148	DLTR	Dollar Tree	Consumer Discretionary
151	DOV	Dover Corporation	Industrials
152	DOW	Dow Inc.	Materials
150	DPZ	Domino's Pizza	Consumer Discretionary
155	DRE	Duke Realty Corp	Real Estate
134	DRI	Darden Restaurants	Consumer Discretionary
153	DTE	DTE Energy Co.	Utilities
154	DUK	Duke Energy	Utilities
135	DVA	DaVita Inc.	Health Care
139	DVN	Devon Energy	Energy
157	DXC	DXC Technology	Information Technology
140	DXCM	DexCom	Health Care
165	EA	Electronic Arts	Communication Services
161	EBAY	eBay Inc.	Consumer Discretionary
162	ECL	Ecolab Inc.	Materials
121	ED	Consolidated Edison	Utilities
169	EFX	Equifax Inc.	Industrials
163	EIX	Edison Int'l	Utilities
173	EL	Estée Lauder Companies	Consumer Staples
159	EMN	Eastman Chemical	Materials
166	EMR	Emerson Electric Company	Industrials
168	EOG	EOG Resources	Energy
170	EQIX	Equinix	Real Estate
171	EQR	Equity Residential	Real Estate
176	ES	Eversource Energy	Utilities
172	ESS	Essex Property Trust Inc.	Real Estate
158	ETFC	E*Trade	Financials
160	ETN	Eaton Corporation	Industrials
167	ETR	Entergy Corp.	Utilities
175	EVRG	Evergy	Utilities
164	EW	Edwards Lifesciences	Health Care
177	EXC	Exelon Corp.	Utilities
179	EXPD	Expeditors	Industrials
178	EXPE	Expedia Group	Consumer Discretionary
180	EXR	Extra Space Storage	Real Estate
196	F	Ford Motor Company	Consumer Discretionary
141	FANG	Diamondback Energy	Energy
184	FAST	Fastenal Co	Industrials
183	FB	Facebook Inc.	Communication Services
199	FBHS	Fortune Brands Home & Security	Industrials
203	FCX	Freeport-McMoRan Inc.	Materials
186	FDX	FedEx Corporation	Industrials
190	FE	FirstEnergy Corp	Utilities
182	FFIV	F5 Networks	Information Technology
187	FIS	Fidelity National Information Services	Information Technology
191	FISV	Fiserv Inc	Information Technology
188	FITB	Fifth Third Bancorp	Financials
193	FLIR	FLIR Systems	Information Technology
194	FLS	Flowserve Corporation	Industrials
192	FLT	FleetCor Technologies Inc	Information Technology
